Project,ReflectiveTarget,Type
appstatus-spring-boot-starter,org.springframework.web.context.ConfigurableWebApplicationContext,Type 1
appstatus-spring-boot-starter,org.springframework.test.context.TestContextBootstrapper,Type 1
appstatus-spring-boot-starter,org.springframework.test.context.support.DefaultBootstrapContext,Type 1
appstatus-spring-boot-starter,org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate,Type 1
appstatus-spring-boot-starter,org.springframework.test.context.BootstrapWith,Type 1
appstatus-spring-boot-starter,org.springframework.test.annotation.SystemProfileValueSource,Type 1
appstatus-spring-boot-starter,org.springframework.stereotype.Component,Type 1
appstatus-spring-boot-starter,org.springframework.format.Printer,Type 1
appstatus-spring-boot-starter,org.springframework.format.AnnotationFormatterFactory,Type 1
appstatus-spring-boot-starter,org.springframework.core.SerializableTypeWrapper$TypeProvider,Type 1
appstatus-spring-boot-starter,org.springframework.core.SerializableTypeWrapper$SerializableTypeProxy,Type 1
appstatus-spring-boot-starter,org.springframework.core.Ordered,Type 1
appstatus-spring-boot-starter,org.springframework.core.convert.converter.ConverterFactory,Type 1
appstatus-spring-boot-starter,org.springframework.core.convert.converter.Converter,Type 1
appstatus-spring-boot-starter,org.springframework.core.convert.converter.ConditionalConverter,Type 1
appstatus-spring-boot-starter,org.springframework.core.$Proxy26,Type 1
appstatus-spring-boot-starter,org.springframework.core.$Proxy20,Type 1
appstatus-spring-boot-starter,org.springframework.context.event.EventListenerMethodProcessor,Type 1
appstatus-spring-boot-starter,org.springframework.context.event.DefaultEventListenerFactory,Type 1
appstatus-spring-boot-starter,org.springframework.context.event.ContextRefreshedEvent,Type 1
appstatus-spring-boot-starter,org.springframework.context.ConfigurableApplicationContext,Type 1
appstatus-spring-boot-starter,org.springframework.context.ApplicationListener,Type 1
appstatus-spring-boot-starter,org.springframework.context.ApplicationEvent,Type 1
appstatus-spring-boot-starter,org.springframework.context.ApplicationContextInitializer,Type 1
appstatus-spring-boot-starter,org.springframework.context.ApplicationContextAware,Type 1
appstatus-spring-boot-starter,org.springframework.boot.type.classreading.ConcurrentReferenceCachingMetadataReaderFactory,Type 1
appstatus-spring-boot-starter,org.springframework.boot.test.mock.mockito.MockitoPostProcessor$SpyPostProcessor,Type 1
appstatus-spring-boot-starter,org.springframework.boot.test.mock.mockito.MockitoPostProcessor,Type 1
appstatus-spring-boot-starter,org.springframework.boot.test.mock.mockito.Definition,Type 1
appstatus-spring-boot-starter,org.springframework.boot.test.context.SpringBootTestContextBootstrapper,Type 1
appstatus-spring-boot-starter,org.springframework.boot.test.context.SpringBootTest$WebEnvironment,Type 1
appstatus-spring-boot-starter,org.springframework.boot.test.context.SpringBootTest,Type 1
appstatus-spring-boot-starter,org.springframework.boot.test.context.SpringBootContextLoader,Type 1
appstatus-spring-boot-starter,org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener,Type 1
appstatus-spring-boot-starter,org.springframework.boot.SpringBootConfiguration,Type 1
appstatus-spring-boot-starter,org.springframework.boot.loader.JarLauncher,Type 1
appstatus-spring-boot-starter,org.springframework.boot.context.event.SpringApplicationEvent,Type 1
appstatus-spring-boot-starter,org.springframework.boot.context.event.ApplicationStartingEvent,Type 1
appstatus-spring-boot-starter,org.springframework.boot.context.event.ApplicationEnvironmentPreparedEvent,Type 1
appstatus-spring-boot-starter,org.springframework.boot.autoconfigure.SharedMetadataReaderFactoryContextInitializer$SharedMetadataReaderFactoryBean,Type 1
appstatus-spring-boot-starter,org.springframework.beans.factory.support.RootBeanDefinition,Type 1
appstatus-spring-boot-starter,org.springframework.beans.factory.support.BeanDefinitionRegistry,Type 1
appstatus-spring-boot-starter,org.springframework.beans.factory.BeanClassLoaderAware,Type 1
